owner,name,issues.total_count,issues.avg_closed_time,total_code_lines,languages,PAI,total_commits,bus_factor
elastic,puppet-elasticsearch,875,35,6131,"Ruby/HTML/Puppet/Shell/Pascal",Very Low,1400,2
theforeman,foreman,5001,22,126803,"Makefile/CSS/Ruby/Python/HTML/JavaScript/Shell",High,5318,20
facebook,react-native,16593,50,222569,"C/Assembly/Prolog/Objective-C/Objective-C++/Python/HTML/Shell/Batchfile/Java/C++/Makefile/CSS/Kotlin/Ruby/JavaScript/IDL",Very High,0,0
npm,npm,17829,124,160093,"Batchfile/Makefile/CSS/JavaScript/HTML/Shell",Very Low,7478,3
angular,angular-cli,8139,16,-1,"HTML/JavaScript/TypeScript/CSS",N/A,1826,11
tensorflow,tensorflow,14136,24,1149724,"Jupyter Notebook/Makefile/LLVM/Objective-C/C/Java/Perl 6/Python/PHP/PureBasic/Shell/Go/Batchfile/Objective-C++/C++/Ruby/Perl/CMake",Very High,19290,100
FortAwesome,Font-Awesome,7617,71,83321,"Ruby/JavaScript/Makefile/HTML/CSS",Not Available,996,2
angular,angular,19085,34,441086,"CSS/JavaScript/Python/HTML/TypeScript/Shell",Very High,8461,100
docker,docker,32807,31,591549,"C/Makefile/Vim script/Assembly/Go/Shell/PowerShell",Very High,14299,100
ansible,ansible,29686,44,721787,"Makefile/C#/DIGITAL Command Language/Python/Tcl/HTML/Shell/Go/Batchfile/Roff/JavaScript/PowerShell",Not Available,20496,100
twbs,bootstrap,24508,19,54529,"CSS/Ruby/JavaScript/HTML/Shell/PowerShell",Very High,11613,3
elastic,puppet-elasticsearch,875,35,6131,"Pascal/Puppet/Ruby/Shell/HTML",Very Low,1400,2
theforeman,foreman,5001,22,126803,"Shell/JavaScript/CSS/Ruby/Makefile/HTML/Python",High,5318,20
facebook,react-native,16593,50,222569,"Objective-C/IDL/Shell/JavaScript/Java/Prolog/Makefile/Kotlin/HTML/Assembly/Objective-C++/C/Ruby/C++/CSS/Batchfile/Python",Very High,8304,100
npm,npm,17829,124,160093,"Shell/JavaScript/Batchfile/Makefile/CSS/HTML",Very Low,7478,3
angular,angular-cli,8139,16,-1,"JavaScript/CSS/TypeScript/HTML",N/A,1826,11
tensorflow,tensorflow,14138,24,1149724,"Objective-C/Shell/Objective-C++/LLVM/Java/Makefile/Ruby/PHP/Jupyter Notebook/Perl/Batchfile/Perl 6/C/Go/C++/CMake/PureBasic/Python",Very High,19290,100
FortAwesome,Font-Awesome,7617,71,83321,"JavaScript/CSS/Ruby/Makefile/HTML",Not Available,996,2
angular,angular,19085,34,441086,"Shell/JavaScript/CSS/TypeScript/HTML/Python",Very High,8461,100
docker,docker,32807,31,591549,"Shell/Assembly/PowerShell/Makefile/Go/C/Vim script",Very High,14299,100
ansible,ansible,29688,44,721787,"Shell/JavaScript/PowerShell/Makefile/HTML/Go/Roff/DIGITAL Command Language/C#/Tcl/Batchfile/Python",Not Available,0,0
twbs,bootstrap,24510,19,54529,"Shell/JavaScript/PowerShell/CSS/Ruby/HTML",Very High,11613,3
nodejs,node,17056,33,3853528,"Shell/JavaScript/Makefile/PHP/HTML/Roff/DTrace/C/R/C++/Batchfile/Python",Very High,16232,100
php,php-src,2858,96,3993373,"Objective-C/Shell/JavaScript/XSLT/Yacc/Makefile/Awk/PHP/HTML/Perl/Roff/DTrace/Batchfile/GAP/GDB/C/C++/Lex/M4",Very High,46358,100
apache,httpd,11,188,1911760,"Shell/Yacc/PHP/Lex/Awk/CMake/Lua/Perl/DTrace/Perl 6/GDB/C/SourcePawn/C++/Makefile/M4/Python",Very High,14585,10
mysql,mysql-server,186,6,3350798,"Shell/JavaScript/Perl 6/Makefile/HTML/Assembly/SQLPL/Awk/DTrace/PLpgSQL/GAP/Prolog/SourcePawn/C++/C/M4/ActionScript/Objective-C/Visual Basic/AngelScript/XSLT/Java/Emacs Lisp/Yacc/Vim script/PHP/CMake/POV-Ray SDL/Roff/Pascal/Perl/Batchfile/PLSQL/CSS/Logos/Lex/Python",Very High,8262,16
